ID,item_cnt_month
0,2.781648
1,1.7623228
2,2.781648
3,2.781648
4,2.781648
5,2.781648
6,2.781648
7,1.7623228
8,1.7623228
9,2.781648
10,2.781648
11,2.781648
12,1.7623228
13,2.781648
14,2.781648
15,2.781648
16,2.9968271
17,1.7623228
18,2.781648
19,2.781648
20,1.7623228
21,2.781648
22,2.781648
23,2.781648
24,2.781648
25,2.781648
26,2.781648
27,2.781648
28,2.781648
29,2.781648
30,2.781648
31,2.781648
32,2.781648
33,2.781648
34,2.781648
35,2.781648
36,2.781648
37,2.781648
38,1.9407595
39,1.9407595
40,1.9407595
41,2.781648
42,2.781648
43,2.781648
44,1.9407595
45,1.9407595
46,1.9407595
47,1.9407595
48,1.9407595
49,1.9407595
50,1.9407595
51,1.9407595
52,1.7623228
53,1.9407595
54,2.781648
55,2.781648
56,2.781648
57,2.781648
58,2.781648
59,2.781648
60,2.781648
61,2.781648
62,2.781648
63,2.781648
64,2.781648
65,1.7623228
66,2.781648
67,2.781648
68,2.781648
69,2.781648
70,1.7623228
71,2.781648
72,2.781648
73,2.781648
74,2.781648
75,2.781648
76,1.7623228
77,2.781648
78,2.781648
79,2.781648
80,2.781648
81,2.781648
82,2.781648
83,2.781648
84,2.781648
85,2.781648
86,2.781648
87,1.7623228
88,2.781648
89,2.781648
90,2.781648
91,2.781648
92,2.781648
93,2.781648
94,2.781648
95,1.7623228
96,2.781648
97,2.781648
98,2.781648
99,2.781648
100,2.781648
101,2.781648
102,2.781648
103,2.781648
104,2.781648
105,1.7623228
106,1.7623228
107,2.781648
108,1.7623228
109,1.7623228
110,2.781648
111,2.781648
112,2.781648
113,2.781648
114,2.781648
115,2.781648
116,1.7623228
117,1.7623228
118,2.240376
119,2.240376
120,2.240376
121,2.240376
122,2.240376
123,2.240376
124,2.240376
125,2.240376
126,2.240376
127,1.7623228
128,1.7623228
129,1.7623228
130,2.9968271
131,1.7623228
132,2.781648
133,2.781648
134,2.240376
135,1.7623228
136,1.7623228
137,1.7623228
138,1.7623228
139,1.7623228
140,1.7623228
141,1.7623228
142,1.7623228
143,1.7623228
144,1.9407595
145,1.9407595
146,1.9407595
147,1.7623228
148,1.7623228
149,1.9407595
150,1.7623228
151,1.7623228
152,2.781648
153,1.7623228
154,1.7623228
155,1.7623228
156,1.7623228
157,1.7623228
158,1.7623228
159,1.7623228
160,1.7623228
161,1.7623228
162,1.7623228
163,1.9407595
164,1.7623228
165,1.7623228
166,1.7623228
167,1.7623228
168,1.7623228
169,1.7623228
170,1.7623228
171,1.7623228
172,1.7623228
173,2.781648
174,2.781648
175,2.781648
176,2.781648
177,1.7623228
178,1.7623228
179,1.7623228
180,1.7623228
181,1.7623228
182,1.7623228
183,1.7623228
184,1.7623228
185,1.7623228
186,1.7623228
187,1.7623228
188,1.7623228
189,1.7623228
190,2.781648
191,2.781648
192,1.7623228
193,2.781648
194,2.781648
195,2.781648
196,2.781648
197,2.781648
198,2.781648
199,2.781648
200,2.781648
201,2.781648
202,2.781648
203,2.781648
204,2.781648
205,2.781648
206,2.781648
207,2.781648
208,2.781648
209,2.781648
210,2.781648
211,1.7623228
212,1.7623228
213,1.7623228
214,2.781648
215,2.781648
216,2.781648
217,2.781648
218,2.781648
219,2.781648
220,2.781648
221,2.781648
222,2.781648
223,2.781648
224,2.781648
225,2.781648
226,2.781648
227,2.781648
228,2.781648
229,1.7623228
230,2.781648
231,2.781648
232,2.781648
233,2.781648
234,2.781648
235,2.781648
236,2.781648
237,2.781648
238,2.781648
239,2.781648
240,1.7623228
241,1.7623228
242,2.781648
243,2.781648
244,1.7623228
245,1.7623228
246,2.781648
247,2.781648
248,2.781648
249,2.781648
250,2.781648
